benchmark,subject,n,accuracy,correct,choice_nll,choice_nll_sum,correct_answer_bpb,correct_answer_neg_log2_sum,correct_answer_utf8_bytes
greekmmlu,__all__,16632,0.5594035594035595,9304,1.1646223284038768,19369.99856601328,0.23242568800881075,221158.38793120763,951523
greekmmlu,Accounting,184,0.4945652173913043,91,1.255892100320706,231.0841464590099,0.2317603164798881,2324.3242139767976,10029
greekmmlu,Agriculture,409,0.5452322738386308,223,1.0837984220534025,443.2735546198416,0.15748873613467274,5541.398669634595,35186
greekmmlu,Art,651,0.5591397849462365,364,0.9978559615943596,649.6042309979281,0.27168138138963455,6908.042484594237,25427
greekmmlu,Biology,418,0.44976076555023925,188,1.4533177918840825,607.4868370075465,0.34198044252126414,7218.523180738844,21108
greekmmlu,Chemistry,81,0.4074074074074074,33,1.8057167306466047,146.26305518237498,0.5623218677439059,1116.7712293393972,1986
greekmmlu,Civil Engineering,769,0.5344603381014305,411,1.0356678144607099,796.4285493202859,0.2697289454340488,7752.279620719997,28741
greekmmlu,Clinical Knowledge,633,0.593996840442338,376,0.9422499521133861,596.4442196877734,0.22013874470673017,7355.716015630682,33414
greekmmlu,Computer Networks & Security,63,0.25396825396825395,16,2.34048795992467,147.4507414752542,0.21525420256359146,1033.0049181026754,4799
greekmmlu,Computer Science,358,0.6256983240223464,224,1.1133407340404027,398.5759827864641,0.21313806530570278,5168.384945597987,24249
greekmmlu,Computer_Networks_and_Security,23,0.6086956521739131,14,1.6678928935692203,38.36153655209207,0.5026679747550453,344.8302306819611,686
greekmmlu,Driving Rules,1658,0.5404101326899879,896,1.0597487346987933,1757.0634021305991,0.1579964374917249,27683.029802237594,175213
greekmmlu,Economics,282,0.5425531914893617,153,1.1445204203218833,322.7547585307711,0.1591892675295037,3823.24863825609,24017
greekmmlu,Education,294,0.6054421768707483,178,0.9745137794228853,286.50705115032827,0.20206683944715628,3648.922986736748,18058
greekmmlu,Electrical Engineering,552,0.4963768115942029,274,1.2382328813247985,683.5045504912888,0.3039817007645564,5937.978542734844,19534
greekmmlu,General Knowledge,351,0.5156695156695157,181,1.2130862412826349,425.79327069020485,0.20630616883267952,4649.109514644433,22535
greekmmlu,Geography,422,0.6137440758293838,259,1.2933009512109974,545.7730014110409,0.34696288501068,6400.771302677025,18448
greekmmlu,Government and Politics,355,0.7154929577464789,254,0.9237413988410953,327.92819658858883,0.24906430528904971,5181.035678622812,20802
greekmmlu,Greek History,674,0.655786350148368,442,1.0220563595449415,688.8659863332905,0.3117081544357989,9888.941199475721,31725
greekmmlu,Greek Literature,14,0.5,7,0.9550545724546463,13.370764014365049,0.30419380700560933,175.51982664223658,577
greekmmlu,Greek Mythology,238,0.6134453781512605,146,1.0938631956180347,260.33944055709225,0.3008496054480729,3376.4351219437217,11223
greekmmlu,Greek Traditions,376,0.6382978723404256,240,0.8875924850783713,333.7347743894676,0.2810778884132564,4085.748185975095,14536
greekmmlu,Law,936,0.38675213675213677,362,1.3849943999615333,1296.3547583639952,0.12466666906368139,15572.36296608257,124912
greekmmlu,Management,666,0.6081081081081081,405,0.8770069631972506,584.0866374893689,0.30736899608039264,6520.83325184553,21215
greekmmlu,Maritime Safety and Rescue Operations,148,0.4189189189189189,62,1.2029445100416363,178.03578748616218,0.15937417968422266,2291.8007038591218,14380
greekmmlu,Mathematics,1118,0.5581395348837209,624,1.246304587079288,1393.368528354644,0.6932844675711839,12414.64496079719,17907
greekmmlu,Medicine,534,0.5205992509363296,278,1.083472133005711,578.5741190250498,0.2505182136290478,7320.643238668034,29222
greekmmlu,Modern Greek Language,2358,0.5398642917726887,1273,1.5654978643020045,3691.4439640241267,0.44735322474185046,32629.944212670573,72940
greekmmlu,Physics,1829,0.6364133406232915,1164,0.9415660310526835,1722.1242707953581,0.19596938511551007,20976.171043993967,107038
greekmmlu,Prehistory,63,0.7777777777777778,49,0.688681575644653,43.386939265613144,0.265892149019093,995.7660980765033,3745
greekmmlu,World History,20,0.85,17,0.6499863703335946,12.999727406671893,0.26956901741938977,304.8825587013298,1131
greekmmlu,World Religions,155,0.6451612903225806,100,1.0904244092044102,169.01578342668358,0.15037769340210602,2517.322587551255,16740
