benchmark,subject,n,accuracy,correct,choice_nll,choice_nll_sum,correct_answer_bpb,correct_answer_neg_log2_sum,correct_answer_utf8_bytes
greekmmlu,__all__,16632,0.5507455507455508,9160,1.1803155816730653,19631.00875438642,0.2377775144883206,226250.77391847028,951523
greekmmlu,Accounting,184,0.4891304347826087,90,1.2732914703994533,234.2856305534994,0.23622581275853283,2369.1086761553256,10029
greekmmlu,Agriculture,409,0.5403422982885085,221,1.0964557584087056,448.45040518916056,0.16229269918167352,5710.430913406364,35186
greekmmlu,Art,651,0.5253456221198156,342,1.0163318279637863,661.6320200044249,0.27434052097084044,6975.65642672556,25427
greekmmlu,Biology,418,0.45933014354066987,192,1.4574276666687727,609.204764667547,0.34984680522374245,7384.566364662755,21108
greekmmlu,Chemistry,81,0.4074074074074074,33,1.8041524756331238,146.13635052628302,0.5537617298854172,1099.7707955524386,1986
greekmmlu,Civil Engineering,769,0.5305591677503251,408,1.0455413380488265,804.0212889595476,0.27270176675954866,7837.721478436188,28741
greekmmlu,Clinical Knowledge,633,0.5813586097946287,368,0.9594569792626905,607.3362678732831,0.2280824001751341,7621.145319451931,33414
greekmmlu,Computer Networks & Security,63,0.2698412698412698,17,2.3309400800119957,146.84922504075573,0.21735410893876714,1043.0823687971435,4799
greekmmlu,Computer Science,358,0.5977653631284916,214,1.1190812529563727,400.63108855838146,0.21758716712687337,5276.271215659553,24249
greekmmlu,Computer_Networks_and_Security,23,0.6086956521739131,14,1.6823043502534076,38.69300005582838,0.5011519983298113,343.79027085425054,686
greekmmlu,Driving Rules,1658,0.5247285886610374,870,1.0682621021106098,1771.178565299391,0.16445523812868942,28814.69563824206,175213
greekmmlu,Economics,282,0.5283687943262412,149,1.164323912942215,328.3393434497046,0.16259017146702756,3904.9281481236007,24017
greekmmlu,Education,294,0.6156462585034014,181,0.9816364231565351,288.60110840802133,0.20656327432012214,3730.1196076727656,18058
greekmmlu,Electrical Engineering,552,0.4855072463768116,268,1.2505628765933683,690.3107078795393,0.3080343281759841,6017.142566589673,19534
greekmmlu,General Knowledge,351,0.50997150997151,179,1.2273277350330478,430.7920349965998,0.2123553832137428,4785.428560721694,22535
greekmmlu,Geography,422,0.6184834123222749,261,1.3001424211316892,548.6601017175728,0.3520877075339687,6495.314028586654,18448
greekmmlu,Government and Politics,355,0.704225352112676,250,0.9392090897588188,333.4192268643807,0.25831156147116036,5373.397101723078,20802
greekmmlu,Greek History,674,0.6602373887240356,445,1.0388213345755817,700.165579503942,0.32218285527324986,10221.251083543852,31725
greekmmlu,Greek Literature,14,0.6428571428571429,9,0.9424405550093696,13.194167770131175,0.3076543966006158,177.5165868385553,577
greekmmlu,Greek Mythology,238,0.6050420168067226,144,1.106043367456555,263.2383214546601,0.31003879668993556,3479.565415251147,11223
greekmmlu,Greek Traditions,376,0.6196808510638298,233,0.9024353767564561,339.3157016604275,0.2858259658453167,4154.766239527524,14536
greekmmlu,Law,936,0.3856837606837607,361,1.3960264882358475,1306.6807929887532,0.12896016210839917,16108.671769284356,124912
greekmmlu,Management,666,0.581081081081081,387,0.8910308776252174,593.4265644983948,0.30979169773496734,6572.2308674473325,21215
greekmmlu,Maritime Safety and Rescue Operations,148,0.3918918918918919,58,1.2072447521983964,178.67222332536267,0.16298167298634558,2343.6764575436496,14380
greekmmlu,Mathematics,1118,0.554561717352415,620,1.2733530293084894,1423.6086867668912,0.6592297119024197,11804.82645103663,17907
greekmmlu,Medicine,534,0.49812734082397003,266,1.1049737596774802,590.0559876677744,0.2606437486453002,7616.531622912962,29222
greekmmlu,Modern Greek Language,2358,0.5411365564037319,1276,1.5972412676748495,3766.2949091772953,0.4581685157525999,33418.81153899464,72940
greekmmlu,Physics,1829,0.6211044286495353,1136,0.9518032339057156,1740.8481148135538,0.2014326159910859,21560.94435045385,107038
greekmmlu,Prehistory,63,0.7936507936507936,50,0.7095218103637921,44.69987405291891,0.2791678615421508,1045.4836414753547,3745
greekmmlu,World History,20,0.85,17,0.6518052856356967,13.036105712713935,0.2760745466095272,312.24031221537524,1131
greekmmlu,World Religions,155,0.6516129032258065,101,1.0918102899979478,169.23059494968192,0.15840430708384412,2651.6881005835507,16740
